,Date,CPIH 12-month inflation rate,Type,Value
127,Dec 2021,4.8,Alcohol and tobacco,0.14
128,Dec 2021,4.8,Clothing and footwear,0.26
129,Dec 2021,4.8,Housing and household services,1.31
130,Dec 2021,4.8,Furniture and household goods,0.37
131,Dec 2021,4.8,Transport,1.29
132,Dec 2021,4.8,Recreation and culture,0.34
133,Dec 2021,4.8,Restaurants and hotels,0.41
134,Dec 2021,4.8,Other goods and services,0.34
135,Jan 2022,4.9,Food and non-alcoholic beverages,0.39
136,Jan 2022,4.9,Alcohol and tobacco,0.12
137,Jan 2022,4.9,Clothing and footwear,0.41
138,Jan 2022,4.9,Housing and household services,1.37
139,Jan 2022,4.9,Furniture and household goods,0.41
140,Jan 2022,4.9,Transport,1.24
141,Jan 2022,4.9,Recreation and culture,0.32
142,Jan 2022,4.9,Restaurants and hotels,0.31
143,Jan 2022,4.9,Other goods and services,0.33
144,Feb 2022,5.5,Food and non-alcoholic beverages,0.46
145,Feb 2022,5.5,Alcohol and tobacco,0.13
146,Feb 2022,5.5,Clothing and footwear,0.54
147,Feb 2022,5.5,Housing and household services,1.39
148,Feb 2022,5.5,Furniture and household goods,0.48
149,Feb 2022,5.5,Transport,1.26
150,Feb 2022,5.5,Recreation and culture,0.51
151,Feb 2022,5.5,Restaurants and hotels,0.36
152,Feb 2022,5.5,Other goods and services,0.35
153,Mar 2022,6.2,Food and non-alcoholic beverages,0.53
154,Mar 2022,6.2,Alcohol and tobacco,0.18
155,Mar 2022,6.2,Clothing and footwear,0.57
156,Mar 2022,6.2,Housing and household services,1.49
157,Mar 2022,6.2,Furniture and household goods,0.57
158,Mar 2022,6.2,Transport,1.47
159,Mar 2022,6.2,Recreation and culture,0.55
160,Mar 2022,6.2,Restaurants and hotels,0.53
161,Mar 2022,6.2,Other goods and services,0.34
162,Apr 2022,7.8,Food and non-alcoholic beverages,0.61
163,Apr 2022,7.8,Alcohol and tobacco,0.17
164,Apr 2022,7.8,Clothing and footwear,0.48
165,Apr 2022,7.8,Housing and household services,2.76
166,Apr 2022,7.8,Furniture and household goods,0.57
167,Apr 2022,7.8,Transport,1.47
168,Apr 2022,7.8,Recreation and culture,0.64
169,Apr 2022,7.8,Restaurants and hotels,0.64
170,Apr 2022,7.8,Other goods and services,0.44
171,May 2022,7.9,Food and non-alcoholic beverages,0.78
172,May 2022,7.9,Alcohol and tobacco,0.19
173,May 2022,7.9,Clothing and footwear,0.4
174,May 2022,7.9,Housing and household services,2.79
175,May 2022,7.9,Furniture and household goods,0.6
176,May 2022,7.9,Transport,1.5
177,May 2022,7.9,Recreation and culture,0.54
178,May 2022,7.9,Restaurants and hotels,0.64
179,May 2022,7.9,Other goods and services,0.44
180,Jun 2022,8.2,Food and non-alcoholic beverages,0.89
181,Jun 2022,8.2,Alcohol and tobacco,0.18
182,Jun 2022,8.2,Clothing and footwear,0.35
183,Jun 2022,8.2,Housing and household services,2.82
184,Jun 2022,8.2,Furniture and household goods,0.59
185,Jun 2022,8.2,Transport,1.64
186,Jun 2022,8.2,Recreation and culture,0.52
187,Jun 2022,8.2,Restaurants and hotels,0.73
188,Jun 2022,8.2,Other goods and services,0.46
189,Jul 2022,8.8,Food and non-alcoholic beverages,1.15
190,Jul 2022,8.8,Alcohol and tobacco,0.2
191,Jul 2022,8.8,Clothing and footwear,0.39
192,Jul 2022,8.8,Housing and household services,2.91
193,Jul 2022,8.8,Furniture and household goods,0.56
194,Jul 2022,8.8,Transport,1.66
195,Jul 2022,8.8,Recreation and culture,0.6
196,Jul 2022,8.8,Restaurants and hotels,0.78
197,Jul 2022,8.8,Other goods and services,0.52
198,Aug 2022,8.6,Food and non-alcoholic beverages,1.2
199,Aug 2022,8.6,Alcohol and tobacco,0.21
200,Aug 2022,8.6,Clothing and footwear,0.43
201,Aug 2022,8.6,Housing and household services,2.9
202,Aug 2022,8.6,Furniture and household goods,0.58
203,Aug 2022,8.6,Transport,1.36
204,Aug 2022,8.6,Recreation and culture,0.57
205,Aug 2022,8.6,Restaurants and hotels,0.79
206,Aug 2022,8.6,Other goods and services,0.58
207,Sep 2022,8.8,Food and non-alcoholic beverages,1.33
208,Sep 2022,8.8,Alcohol and tobacco,0.21
209,Sep 2022,8.8,Clothing and footwear,0.46
210,Sep 2022,8.8,Housing and household services,2.94
211,Sep 2022,8.8,Furniture and household goods,0.63
212,Sep 2022,8.8,Transport,1.2
213,Sep 2022,8.8,Recreation and culture,0.56
214,Sep 2022,8.8,Restaurants and hotels,0.87
215,Sep 2022,8.8,Other goods and services,0.61
216,Oct 2022,9.6,Food and non-alcoholic beverages,1.48
217,Oct 2022,9.6,Alcohol and tobacco,0.23
218,Oct 2022,9.6,Clothing and footwear,0.45
219,Oct 2022,9.6,Housing and household services,3.68
220,Oct 2022,9.6,Furniture and household goods,0.63
221,Oct 2022,9.6,Transport,1.02
222,Oct 2022,9.6,Recreation and culture,0.62
223,Oct 2022,9.6,Restaurants and hotels,0.88
224,Oct 2022,9.6,Other goods and services,0.6
